month,mean_rh
1982-01,81.2
1982-02,79.5
1982-03,82.3
1982-04,85.9
1982-05,83.2
1982-06,80.3
1982-07,77.6
1982-08,80.4
1982-09,80.6
1982-10,81.5
1982-11,83.4
1982-12,87.7
1983-01,85.6
1983-02,78
1983-03,76
1983-04,77.2
1983-05,83.2
1983-06,82.4
1983-07,83.7
1983-08,81.2
1983-09,84.4
1983-10,82.5
1983-11,85.2
1983-12,88
1984-01,85.8
1984-02,86
1984-03,85.4
1984-04,83.8
1984-05,84.1
1984-06,83.1
1984-07,83.7
1984-08,84.1
1984-09,83.9
1984-10,82.5
1984-11,86.3
1984-12,86.7
1985-01,81.5
1985-02,84
1985-03,83.9
1985-04,83.8
1985-05,83.4
1985-06,79.4
1985-07,83.1
1985-08,80.4
1985-09,83.1
1985-10,84.7
1985-11,85
1985-12,86.2
1986-01,83.9
1986-02,78.4
1986-03,86.6
1986-04,85.3
1986-05,81.8
1986-06,82.5
1986-07,79.9
1986-08,77.3
1986-09,84.4
1986-10,85
1986-11,84.1
1986-12,85.2
1987-01,86
1987-02,79
1987-03,83.2
1987-04,82.8
1987-05,84.6
1987-06,80.7
1987-07,81.3
1987-08,83.6
1987-09,82.5
1987-10,82.1
1987-11,84
1987-12,84.6
1988-01,84.3
1988-02,83.2
1988-03,85.3
1988-04,84.5
1988-05,82.7
1988-06,81.6
1988-07,84
1988-08,84.9
1988-09,84.5
1988-10,83.2
1988-11,86.8
1988-12,81.1
1989-01,84.1
1989-02,78.3
1989-03,87.6
1989-04,86.4
1989-05,86.6
1989-06,83.3
1989-07,82.6
1989-08,83.7
1989-09,84.4
1989-10,83.7
1989-11,86
1989-12,85.5
1990-01,83.8
1990-02,80.9
1990-03,77.6
1990-04,81.2
1990-05,81.1
1990-06,80.7
1990-07,82.7
1990-08,82.3
1990-09,83.2
1990-10,83.5
1990-11,83.5
1990-12,86
1991-01,84.1
1991-02,81.6
1991-03,79.9
1991-04,84.3
1991-05,86.6
1991-06,81
1991-07,78.7
1991-08,79.8
1991-09,83
1991-10,81.4
1991-11,86.5
1991-12,90.7
1992-01,82.4
1992-02,80.5
1992-03,80.6
1992-04,82.4
1992-05,83.3
1992-06,82.7
1992-07,83.8
1992-08,81.1
1992-09,82.9
1992-10,82
1992-11,87.7
1992-12,90.3
1993-01,85.7
1993-02,80.5
1993-03,86.3
1993-04,84.5
1993-05,82.9
1993-06,80.9
1993-07,83.2
1993-08,79.4
1993-09,81.4
1993-10,84.3
1993-11,87.4
1993-12,87.4
1994-01,82.1
1994-02,84.5
1994-03,87.1
1994-04,84.8
1994-05,84.8
1994-06,83.5
1994-07,78.9
1994-08,80
1994-09,78.7
1994-10,81.5
1994-11,88.4
1994-12,85.5
1995-01,86.2
1995-02,87.5
1995-03,83.9
1995-04,85.3
1995-05,83.7
1995-06,81.9
1995-07,82.6
1995-08,85.6
1995-09,81.6
1995-10,82.8
1995-11,86.8
1995-12,86.6
1996-01,84.2
1996-02,84.6
1996-03,81
1996-04,85.5
1996-05,83.7
1996-06,84.3
1996-07,81.9
1996-08,83.4
1996-09,82.2
1996-10,83
1996-11,83.5
1996-12,82.9
1997-01,77.3
1997-02,80.8
