Overall Rank,Country,Country ID,Time ID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
1,Denmark,57,16,7.526,1.441784382,1.163744927,0.795040131,0.57941258,0.361709565,0.444532186,2.739776229
2,Switzerland,176,16,7.509,1.527334213,1.145236492,0.863029063,0.585571766,0.280825347,0.412032723,2.694970396
3,Iceland,87,16,7.501,1.426655412,1.183259368,0.867332816,0.566242337,0.476783902,0.149747416,2.830978749
4,Norway,136,16,7.498,1.577440143,1.126895666,0.795789361,0.596085906,0.378948093,0.357757896,2.665082935
5,Finland,69,16,7.413,1.40597868,1.134640336,0.81091392,0.571036816,0.254919082,0.410039783,2.825471383
6,Canada,2,16,7.404,1.440147758,1.096098185,0.827603579,0.57370019,0.44834137,0.313291997,2.704816921
7,Netherlands,131,16,7.339,1.46468389,1.02912271,0.812308967,0.552113593,0.474157631,0.299268067,2.707345142
8,New Zealand,4,16,7.334,1.360661984,1.172781706,0.830957234,0.581473291,0.494010955,0.419043779,2.475071051
9,Australia,3,16,7.313,1.444426179,1.104755282,0.851203442,0.568365872,0.474068999,0.323306561,2.546873665
10,Sweden,175,16,7.291,1.45181036,1.087640166,0.831212401,0.582184851,0.382537901,0.408665925,2.546948396
11,Israel and the Occupied Territories,91,16,7.267,1.33766067,0.995372832,0.849171937,0.36432001,0.322876483,0.087278329,3.310319739
12,Austria,19,16,7.119,1.450382471,1.083832502,0.805645227,0.543551922,0.328647077,0.213483572,2.693457229
13,United States,5,16,7.104,1.507962227,1.047815085,0.778997898,0.481630385,0.410768449,0.148683056,2.7281429
14,Costa Rica,51,16,7.087,1.068794847,1.021524072,0.761464834,0.552250743,0.225525066,0.105465144,3.351975294
15,Puerto Rico,147,16,7.039,1.35943079,1.081130385,0.77758044,0.468232125,0.222022176,0.122752629,3.007851455
16,Germany,75,16,6.994,1.447866678,1.097738504,0.814869463,0.534662247,0.304522663,0.285507739,2.508832706
17,Brazil,34,16,6.952,1.08754158,1.039377689,0.61415261,0.404254824,0.157763064,0.141658947,3.507251286
18,Belgium,26,16,6.929,1.425390482,1.052487135,0.819593668,0.513537586,0.242399335,0.262475789,2.613116005
20,Luxembourg,110,16,6.871,1.69752419,1.039993048,0.845419347,0.548702359,0.275711238,0.353293061,2.110356757
21,Mexico,121,16,6.778,1.115080833,0.714603782,0.711434186,0.377086431,0.117354617,0.183547229,3.558892922
22,Singapore,1,16,6.739,1.645546436,0.867575824,0.947188199,0.48769936,0.327062637,0.469869375,1.994058169
23,United Kingdom,6,16,6.725,1.402830243,1.086715818,0.809905171,0.500359237,0.501563191,0.273989618,2.149636722
24,Chile,46,16,6.705,1.216696262,0.905871034,0.818833172,0.377893388,0.315953463,0.114507757,2.955244924
25,Panama,140,16,6.701,1.183057308,0.989121318,0.708346546,0.489274472,0.241801292,0.084229752,3.005169312
26,Argentina,17,16,6.65,1.15136528,1.06612432,0.697112739,0.422835112,0.109889276,0.072960153,3.12971312
27,Czech Republic,55,16,6.596,1.309153438,1.007931709,0.763755083,0.41417706,0.099286601,0.03985557,2.961840539
28,United Arab Emirates,189,16,6.573,1.573521495,0.871136844,0.729932189,0.56214571,0.265909791,0.355612397,2.214741574
29,Uruguay,190,16,6.545,1.181572676,1.031425357,0.721826971,0.543876708,0.180556223,0.213936999,2.671805066
30,Malta,116,16,6.488,1.307815313,1.098792076,0.803154051,0.549941838,0.56236583,0.17554386,1.990387032
31,Colombia,48,16,6.481,1.030316114,1.021694183,0.596591532,0.447348237,0.156259283,0.053988829,3.174801822
32,France,70,16,6.478,1.394883514,1.005080104,0.837949932,0.465618432,0.121603429,0.178082541,2.474782048
33,Thailand,7,16,6.474,1.08929646,1.044767976,0.649153352,0.495529205,0.586960733,0.028332459,2.579959815
34,Saudi Arabia,158,16,6.379,1.489526391,0.848290741,0.592667282,0.379041046,0.154574409,0.300076246,2.614823885
35,Taiwan,199,16,6.379,1.397285581,0.926242232,0.795653343,0.323774934,0.254951417,0.066301078,2.614791415
36,Qatar,148,16,6.375,1.824265599,0.879637301,0.717229843,0.566785216,0.323877066,0.480493426,1.582711549
37,Spain,170,16,6.361,1.342530847,1.129446745,0.878959715,0.375447303,0.176649779,0.061372794,2.396592817
38,Algeria,12,16,6.355,1.052660227,0.83308512,0.618043006,0.210056841,0.070441589,0.161569893,3.409143324
39,Guatemala,80,16,6.324,0.834544599,0.871189952,0.540386319,0.503786147,0.288083464,0.087014526,3.198994993
40,Suriname,173,16,6.269,1.096858859,0.778662622,0.50933373,0.522341907,0.166648671,0.12692143,3.068232781
41,Kuwait,100,16,6.239,1.617141366,0.877582967,0.635688484,0.431660771,0.159652606,0.236691728,2.280582078
42,Bahrain,22,16,6.218,1.440244079,0.94396764,0.656957924,0.473753095,0.171470031,0.257721454,2.273885777
43,Trinidad & Tobago,182,16,6.168,1.325716496,0.985685587,0.526080966,0.484528571,0.319347799,0.012409157,2.514231424
44,Venezuela,192,16,6.084,1.133673549,1.033022523,0.619042635,0.198472604,0.042504367,0.083041303,2.974243019
45,Slovak Republic (Slovakia),163,16,6.078,1.279725552,1.082675695,0.703670502,0.233906135,0.138371661,0.029473193,2.610177262
46,El Salvador,63,16,6.068,0.87369591,0.809750974,0.59600395,0.37268588,0.088773847,0.106125608,3.220963831
47,Malaysia,8,16,6.005,1.251420617,0.880245805,0.623655319,0.390308052,0.414735854,0.090813398,2.353820955
48,Nicaragua,132,16,5.992,0.693838418,0.895209551,0.652131021,0.465823591,0.297732264,0.162916645,2.82434851
49,Uzbekistan,191,16,5.987,0.735912979,1.168096423,0.50163275,0.60848254,0.343264252,0.283327252,2.346283804
50,Italy,92,16,5.977,1.354946852,1.041667461,0.851017892,0.188266635,0.166838825,0.02555649,2.348705845
51,Ecuador,61,16,5.976,0.973064899,0.859740675,0.686129689,0.402699977,0.100736052,0.180371672,2.773257036
52,Belize,27,16,5.956,0.876162708,0.686545849,0.455687672,0.512311637,0.236840621,0.1077113,3.080740213
53,Japan,95,16,5.921,1.38007319,1.060541987,0.914910615,0.467606604,0.102243334,0.189853475,1.805770795
54,Kazakhstan,97,16,5.919,1.229428291,0.955435932,0.573857725,0.40520218,0.150109679,0.111316212,2.493649981
55,"Moldova, Republic of",122,16,5.897,0.691769421,0.831317425,0.523085415,0.252024621,0.199973464,0.019030778,3.379798876
56,Russian Federation,151,16,5.856,1.232281923,1.052608132,0.589905679,0.326817215,0.02736127,0.035856802,2.591168979
57,Poland,145,16,5.835,1.245846987,1.04684782,0.690581024,0.45190239,0.144434735,0.054995816,2.200391228
58,"Korea, Republic of (South Korea)",168,16,5.835,1.359476805,0.721935272,0.886448503,0.251680881,0.188236162,0.077156268,2.350066109
59,Bolivia,31,16,5.822,0.79421556,0.837788463,0.469702065,0.509607852,0.216978401,0.077457048,2.916250611
60,Lithuania,109,16,5.813,1.269200087,1.064109922,0.646744013,0.18928887,0.020247009,0.01819652,2.605213579
61,Belarus,25,16,5.802,1.130622387,1.049929738,0.631036282,0.290910363,0.139418796,0.174569637,2.385512797
63,Slovenia,164,16,5.768,1.29946506,1.056134582,0.791508019,0.531639218,0.257384598,0.036349814,1.795518709
64,Peru,143,16,5.743,0.996017814,0.812553644,0.629942834,0.375016838,0.145270541,0.052919939,2.73127839
65,Turkmenistan,185,16,5.658,1.080170751,1.038174391,0.440057486,0.374077529,0.225665107,0.284671992,2.215182744
66,Mauritius,119,16,5.648,1.143722653,0.7569502,0.661886156,0.46144712,0.369510621,0.052029993,2.202453257
67,Libya,107,16,5.615,1.066875935,0.950764835,0.523042977,0.406719416,0.170868352,0.103392102,2.393336383
68,Latvia,103,16,5.56,1.217876792,0.950254142,0.639524221,0.279956311,0.174453154,0.088895261,2.209040119
69,Cyprus,54,16,5.546,1.318565488,0.706973851,0.848804116,0.295066029,0.279059798,0.052277435,2.045253283
70,Paraguay,142,16,5.538,0.893729806,1.111106753,0.582954884,0.46235162,0.252958059,0.073959857,2.160939021
71,Romania,150,16,5.528,1.169700027,0.728026032,0.67602092,0.367121756,0.128893197,0.006788756,2.451449312
72,Estonia,66,16,5.517,1.279636979,1.051626802,0.680980504,0.415114403,0.084225267,0.185190409,1.820225636
73,Jamaica,94,16,5.51,0.893330693,0.963718593,0.5946877,0.435969591,0.222449809,0.042939641,2.356903973
74,Croatia,52,16,5.488,1.186485887,0.608087182,0.705240667,0.239070639,0.184344918,0.040024605,2.524746102
76,Somalia,166,16,5.44,0,0.336134076,0.114662275,0.567781329,0.272246689,0.311798036,3.837377595
77,Kosovo,99,16,5.401,0.901451945,0.660622716,0.540003181,0.143963769,0.279919446,0.065471202,2.809567741
78,Turkey,184,16,5.389,1.164921641,0.87717098,0.647183418,0.238888025,0.0470687,0.123479202,2.290288034
79,Indonesia,9,16,5.314,0.951040626,0.87625128,0.493741304,0.392365605,0.565213919,0.003222997,2.032164269
80,Jordan,96,16,5.303,0.996726453,0.862160564,0.607119262,0.360229939,0.142622128,0.132970601,2.201171053
81,Azerbaijan,20,16,5.291,1.123732328,0.76042366,0.545036376,0.353265971,0.056396302,0.179136723,2.27300864
82,Philippines,144,16,5.279,0.812171459,0.87877202,0.470356584,0.548538148,0.216740772,0.117567897,2.23485312
83,China,47,16,5.245,1.027797103,0.793808103,0.735614955,0.440123588,0.049588207,0.027451765,2.170616279
84,Bhutan,30,16,5.196,0.85269922,0.908361614,0.497591704,0.460738599,0.485455036,0.161598593,1.829555234
85,Kyrgyz Republic (Kyrgyzstan),101,16,5.185,0.560443997,0.954338312,0.554490626,0.402119219,0.384315312,0.047621343,2.281671191
86,Serbia,160,16,5.177,1.034370899,0.813292861,0.645801246,0.157181978,0.20736517,0.043391395,2.275596451
87,Bosnia & Herzegovina,32,16,5.163,0.93382591,0.643669307,0.707662225,0.095113359,0.298890561,0,2.483838638
88,Montenegro,125,16,5.161,1.078377247,0.741729081,0.63532579,0.151106626,0.171912715,0.12721251,2.255336031
89,Dominican Republic,60,16,5.155,1.027870894,0.994959295,0.576689005,0.522585511,0.212857142,0.12371701,1.696321143
90,Morocco,127,16,5.151,0.840575635,0.385954619,0.594714701,0.256462544,0.040528033,0.084042557,2.948721911
