Timestamp,Are you a Singapore Citizen or Permanent Resident? ,Your age? ,Your profession / job? ,Gender?,Are you intending to migrate to another country in the future? ,"If yes, what is the country that you wish to migrate to? ","If you intend to migrate, what are the factors that have caused you to decide to do so? ","For the options checked in the previous question, would you remain in Singapore if they were addressed? ",Any personal thoughts on why Singaporeans might want to emigrate? 
7/24/2018 18:27:45,Singapore Citizen,35 - 45,Software Engineer,Male,Yes,Australia,"Quality of Life, Over-crowding, National Service",No,
7/24/2018 18:56:52,Singapore Citizen,35 - 45,Project manager,Female,Yes,Canada,"Cost of Living, Quality of Life, Job Opportunities / Salary, Social Issues",Maybe,Government not taking good care of Singaporeans
7/25/2018 5:51:44,Singapore Citizen,18 - 25,Student,Male,Yes,Australia,"Cost of Living, Quality of Life",No,National Service
7/25/2018 6:05:27,Singapore Citizen,25 - 35,Business Development Exec,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene / Government, Education, Job Opportunities / Salary, Over-crowding, Weather",Maybe,
7/25/2018 13:36:31,Singapore Citizen,35 - 45,Consultant ,Male,Unsure,Australia,"Cost of Living, Quality of Life, Education, Job Opportunities / Salary",Maybe,For a better quality of life 
7/25/2018 13:40:54,Singapore Citizen,35 - 45,Sales ,Female,No,Canada,"Cost of Living, Education, Job Opportunities / Salary, Over-crowding, Healthcare Issues",Yes,Too expensive and competitive to live here 
7/25/2018 13:41:44,Singapore Citizen,35 - 45,Life Science Industry,Male,Unsure,Australia,"Cost of Living, Quality of Life, Job Opportunities / Salary",Maybe,"Stressful, high cost living, creativity stifling education system "
7/25/2018 13:43:13,Singapore Citizen,35 - 45,Cargo officer,Male,Yes,Canada,"Quality of Life, Education",Maybe,Competitiveness and stress of the parents having to push their kids in order for them to get into a better school in Singapore because the educational level here. 
7/25/2018 13:43:37,Singapore Citizen,25 - 35,,Female,No,Australia,"Cost of Living, Quality of Life, Weather",Yes,
7/25/2018 13:43:49,Singapore Citizen,35 - 45,Insurance professional.,Male,Yes,More than one choice.,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, National Service, Healthcare Issues, Government Transparency, Public Social Support, I fucking hate the PAP curs (see above).",Maybe,"Can run, just run. This shithole is going to sink soon."
7/25/2018 13:51:57,Singapore Citizen,35 - 45,Business mgr,Male,Unsure,Malaysia,Cost of Living,Yes,Lack of opportunities in Singapore 
7/25/2018 13:57:53,Singapore Citizen,35 - 45,Operation manager,Male,Yes,Australia,"Cost of Living, Quality of Life",Maybe,Stress
7/25/2018 13:59:21,Singapore Citizen,35 - 45,,Male,No,India,"Cost of Living, Quality of Life, Over-crowding, Weather",Maybe,
7/25/2018 14:19:30,No,25 - 35,,Male,Yes,Australia,"Cost of Living, Job Opportunities / Salary, Over-crowding",Maybe,competitive environment
7/25/2018 14:23:21,Singapore Citizen,25 - 35,Sales man,Male,Yes,Australia,Quality of Life,Yes,Too hot 
7/25/2018 15:01:11,Singapore Citizen,25 - 35,Freelance Musician,Male,Yes,USA,"Quality of Life, Education, Job Opportunities / Salary, National Service",Maybe,
